"Country","Iteration","Scenario","Club","EV_previous_round","EV","tag","parameter","Approach","Boreal","Temperate","Tropical"
"angdrc",0,"Scenario_D","outside",0,-1.09477496147156,"producer","qo","Diplomatic",0,330.321773886681,3714.96680378914
"angdrc",2,"Scenario_D","outside",-43.5886573791504,35.0573883056641,"producer","qo","Diplomatic",0,1716.41165018082,14605.6318879127
"angdrc",38,"Scenario_D","outside",-17.851095199585,18.9927616119385,"producer","qo","Diplomatic",0,1944.66477632522,14924.5862960815
"angdrc",44,"Scenario_D","outside",-19.2008762359619,46.50732421875,"producer","qo","Diplomatic",0,1732.28830099106,14870.9986209869
"angdrc",22,"Scenario_D","outside",47.1736831665039,-0.129344016313553,"producer","qo","Diplomatic",0,953.182578086853,8523.49823713302
"angdrc",20,"Scenario_D","outside",-18.0091400146484,49.7709693908691,"producer","qo","Diplomatic",0,1954.2305469513,16471.6908931732
"angdrc",46,"Scenario_D","outside",34.0325012207031,-3.2030668258667,"producer","qo","Diplomatic",0,1020.26036381721,9092.04095602035
"angdrc",25,"Scenario_D","outside",18.9927616119385,16.6009864807129,"producer","qo","Diplomatic",0,585.964024066925,5497.93595075607
"angdrc",35,"Scenario_D","outside",49.7709693908691,47.1736831665039,"producer","qo","Diplomatic",0,-3126.01327896118,-23604.9864888192
"angdrc",16,"Scenario_D","outside",-19.2008762359619,46.50732421875,"producer","qo","Diplomatic",0,1732.28830099106,14870.9986209869
"angdrc",42,"Scenario_D","outside",47.9179534912109,22.3957710266113,"producer","qo","Diplomatic",0,607.012093067169,5250.39112567902
"angdrc",1,"Scenario_D","outside",-1.09477496147156,-43.5886573791504,"producer","qo","Diplomatic",0,-1462.13412284851,-14179.7008514404
"angdrc",41,"Scenario_D","outside",-15.7897300720215,47.9179534912109,"producer","qo","Diplomatic",0,1488.47550153732,13011.3189816475
"angdrc",45,"Scenario_D","outside",46.50732421875,34.0325012207031,"producer","qo","Diplomatic",0,230.587080121041,2999.10017848015
"angdrc",19,"Scenario_D","outside",-3.2030668258667,-18.0091400146484,"producer","qo","Diplomatic",0,221.825882792472,1848.84099662304
"angdrc",34,"Scenario_D","outside",-18.0091400146484,49.7709693908691,"producer","qo","Diplomatic",0,1954.2305469513,16471.6908931732
"angdrc",3,"Scenario_D","outside",35.0573883056641,40.5458831787109,"producer","qo","Diplomatic",0,1556.71179294586,13477.7286052704
"angdrc",24,"Scenario_D","outside",-17.851095199585,18.9927616119385,"producer","qo","Diplomatic",0,1944.66477632522,14924.5862960815
"angdrc",26,"Scenario_D","outside",16.6009864807129,-15.7897300720215,"producer","qo","Diplomatic",0,321.342766284943,2800.59039592743
"angdrc",8,"Scenario_D","outside",16.3216667175293,-18.6413764953613,"producer","qo","Diplomatic",0,-421.611949801445,-4359.74767804145
"angdrc",29,"Scenario_D","outside",22.3957710266113,-19.2008762359619,"producer","qo","Diplomatic",0,348.277226090431,2925.87009072304
"angdrc",6,"Scenario_D","outside",-23.402286529541,47.9179534912109,"producer","qo","Diplomatic",0,1488.47550153732,13011.3189816475
"angdrc",13,"Scenario_D","outside",-13.0246877670288,47.9179534912109,"producer","qo","Diplomatic",0,1488.47550153732,13011.3189816475
"angdrc",5,"Scenario_D","outside",-9.68765926361084,-23.402286529541,"producer","qo","Diplomatic",0,-487.813830375672,-5198.08459281922
"angdrc",49,"Scenario_D","outside",49.7709693908691,47.1736831665039,"producer","qo","Diplomatic",0,-3126.01327896118,-23604.9864888192
"angdrc",12,"Scenario_D","outside",-0.133573859930038,-13.0246877670288,"producer","qo","Diplomatic",0,171.673342585564,1662.25536167622
"angdrc",39,"Scenario_D","outside",18.9927616119385,16.6009864807129,"producer","qo","Diplomatic",0,585.964024066925,5497.93595075607
"angdrc",15,"Scenario_D","outside",22.3957710266113,-19.2008762359619,"producer","qo","Diplomatic",0,348.277226090431,2925.87009072304
"angdrc",32,"Scenario_D","outside",34.0325012207031,-3.2030668258667,"producer","qo","Diplomatic",0,1020.26036381721,9092.04095602035
"angdrc",27,"Scenario_D","outside",-15.7897300720215,47.9179534912109,"producer","qo","Diplomatic",0,1488.47550153732,13011.3189816475
"angdrc",28,"Scenario_D","outside",47.9179534912109,22.3957710266113,"producer","qo","Diplomatic",0,607.012093067169,5250.39112567902
"angdrc",43,"Scenario_D","outside",22.3957710266113,-19.2008762359619,"producer","qo","Diplomatic",0,348.277226090431,2925.87009072304
"angdrc",4,"Scenario_D","outside",40.5458831787109,-9.68765926361084,"producer","qo","Diplomatic",0,133.315294981003,1721.72522544861
"angdrc",18,"Scenario_D","outside",34.0325012207031,-3.2030668258667,"producer","qo","Diplomatic",0,1020.26036381721,9092.04095602035
"angdrc",33,"Scenario_D","outside",-3.2030668258667,-18.0091400146484,"producer","qo","Diplomatic",0,221.825882792472,1848.84099662304
