Country,ISO
mena,LBN
ssa,ZWE
oceania,TUV
ssa,SHN
seasia,PHL
oceania,NRU
latinamer,VGB
latinamer,JAM
mena,TUR
latinamer,GUF
brasil,BRA
newzealand,NZL
latinamer,FLK
latinamer,ABW
ssa,NER
ssa,LBR
ssa,BEN
southasia,PAK
ssa,TGO
oceania,KIR
eu27,CYP
restofworld,ATA
mena,ISR
southasia,BGD
oceania,PCN
latinamer,ECU
eastasia,PRK
ssa,ERI
ssa,COG
seasia,LAO
ssa,SYC
mena,TUN
efta,CHE
uruguay,URY
bolivia,BOL
seasia,SGP
eu27,DNK
restofworld,BMU
oceania,COK
ssa,CAF
latinamer,LCA
ssa,MLI
mena,IRN
restofworld,GGY
oceania,AUS
restofworld,MKD
oceania,TON
oceania,PYF
ssa,SWZ
oceania,SLB
latinamer,SLV
restofworld,TKM
ssa,TCD
eu27,SVK
ssa,STP
mena,EGY
oceania,TKL
southasia,NPL
ssa,BDI
restofworld,SMR
mena,OMN
latinamer,AIA
restofworld,ARM
ssa,SEN
ssa,GNQ
eu27,SWE
ssa,TZA
restofworld,FRO
ssa,RWA
southasia,BTN
latinamer,TCA
restofworld,VAT
efta,ISL
oceania,ASM
eu27,MTQ
eastasia,MAC
seasia,THA
ghana,GHA
us,USA
restofworld,LIE
restofworld,GIB
restofworld,MNE
eu27,AUT
ssa,ZAF
ssa,LSO
latinamer,URY
seasia,KHM
ssa,SLE
efta,NOR
latinamer,CHL
oceania,MNP
eu27,PRT
oceania,VUT
eu27,BGR
restofworld,JEY
ssa,CMR
latinamer,BHS
ssa,MWI
latinamer,DMA
latinamer,HTI
restofworld,KGZ
restofworld,UKR
ssa,GNB
ssa,SSD
ssa,SDN
ssa,UGA
oceania,GUM
ssa,COM
eu27,ITA
peru,PER
madagascar,MDG
latinamer,DOM
mena,YEM
oceania,FJI
india,IND
latinamer,PRI
eastasia,TWN
eu27,HRV
eu27,IRL
ssa,GMB
colombia,COL
latinamer,GRD
mena,IRQ
korea,KOR
ssa,BWA
latinamer,PAN
paraguay,PRY
latinamer,CRI
eu27,NLD
mena,SYR
latinamer,CYM
ssa,MRT
ssa,KEN
restofworld,IMN
myanmar,MMR
restofworld,AND
ssa,ETH
china,CHN
ssa,BFA
ssa,GAB
oceania,WSM
mena,ESH
latinamer,GTM
southasia,MDV
eu27,LVA
mexico,MEX
restofworld,AZE
ssa,DJI
latinamer,KNA
ssa,NAM
restofworld,KAZ
latinamer,GUY
venezuela,VEN
restofworld,BVT
latinamer,CUB
eastasia,HKG
eu27,GLP
restofworld,MCO
southasia,AFG
restofworld,IOT
eu27,SVN
mena,KWT
angdrc,COD
latinamer,BRB
eu27,POL
restofworld,BIH
mena,ARE
restofworld,SRB
angdrc,AGO
restofworld,MDA
restofworld,ATF
latinamer,BLZ
oceania,NCL
canada,CAN
seasia,TLS
oceania,MHL
uk,GBR
japan,JPN
restofworld,UZB
nigeria,NGR
restofworld,BLR
restofworld,TJK
eu27,DEU
russia,RUS
eu27,FRA
ssa,MYT
ssa,CPV
eastasia,BRN
restofworld,GRL
seasia,VNM
eu27,CZE
eu27,REU
eu27,MLT
eu27,LTU
latinamer,SUR
eu27,LUX
latinamer,HND
oceania,FSM
latinamer,ATG
latinamer,VIR
latinamer,SGS
oceania,WLF
ssa,GIN
latinamer,VCT
ssa,ZMB
ssa,MUS
oceania,UMI
malasya,MYS
eu27,EST
argentina,ARG
eu27,ROU
restofworld,GEO
latinamer,TTO
indonesia,IDN
eu27,BEL
mena,MAR
efta,LIE
oceania,PLW
oceania,PNG
mozambique,MOZ
ivorycoast,CIV
mena,QAT
latinamer,NIC
ssa,SOM
mena,JOR
restofworld,ALB
eu27,GRC
latinamer,MSR
eastasia,MNG
southasia,LKA
oceania,NIU
mena,DZA
mena,LBY
restofworld,SPM
eu27,ESP
mena,SAU
eu27,FIN
eu27,HUN
