Origin,Sector,Zone_consumption,SubZone_Consumption,Value,CSRD_sector
IDN,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,2.36440511757401,Outside EU law
PRY,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,1.1502141410877e-02,Outside EU law
AGO,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,5.13481782172738e-03,Outside EU law
COD,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,0.13757586890174,Outside EU law
CIV,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,1.9761400411993,Outside EU law
MYS,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,0.41047519436986,Outside EU law
PER,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,5.94803296173378e-02,Outside EU law
COL,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,7.08624453128014e-02,Outside EU law
BRA,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,1.42850330712503e-03,Outside EU law
GHA,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,1.90541349937368,Outside EU law
ARG,Growing fruits and nuts industry,Oceania and Asia,Rest_of_Asia_Pacific,2.89124645426774e-04,Outside EU law
BRA,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,0.772146957158207,Within EU law
PRY,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,0.905277069584788,Within EU law
GHA,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,7.73285624830996e-02,Within EU law
CIV,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,1.65728596921671e-02,Within EU law
MYS,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,0.27186606067445,Within EU law
IDN,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,2.74944232598846,Within EU law
ARG,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,0.944140282362959,Within EU law
AGO,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,6.47151175902361e-02,Within EU law
PER,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,2.10714100515686,Within EU law
COD,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,6.19262155302211e-02,Within EU law
COL,Raising of cattle industry,Oceania and Asia,Rest_of_Asia_Pacific,1.16318958353806,Within EU law
BRA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,9.76788313553863e-04,Outside EU law
IDN,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,1.47769586797115,Outside EU law
MYS,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,0.240435234018769,Outside EU law
CIV,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,2.42977155278303e-04,Outside EU law
PER,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,1.23464530386796e-02,Outside EU law
GHA,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,2.55244965964217e-03,Outside EU law
COL,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,4.61441038893767e-03,Outside EU law
ARG,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,6.90302107863967e-05,Outside EU law
COD,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,5.18726910868972e-05,Outside EU law
AGO,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
PRY,"Growing spices, aromatic, drug and pharmaceutical crops industry",Oceania and Asia,Rest_of_Asia_Pacific,1.14206606698373e-03,Outside EU law
PRY,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,7.56269900328793e-02,Outside EU law
BRA,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,4.83175711824323e-04,Outside EU law
AGO,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,1.02817097075186e-05,Outside EU law
CIV,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,4.62603116987836e-02,Outside EU law
IDN,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,0.400087481149517,Outside EU law
COL,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,2.49732373573227e-03,Outside EU law
PER,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,5.53320191813838e-05,Outside EU law
MYS,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,2.00917915871066e-03,Outside EU law
ARG,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,5.39614963022062e-06,Outside EU law
COD,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,2.82618175741623e-03,Outside EU law
GHA,Growing rice industry,Oceania and Asia,Rest_of_Asia_Pacific,5.7649153953015e-03,Outside EU law
IDN,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,4.26366557049146,Outside EU law
COD,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,6.17396682184078e-04,Outside EU law
AGO,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,4.18789218785186e-03,Outside EU law
BRA,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,0.438253714974146,Outside EU law
PER,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,0.10266999844932,Outside EU law
GHA,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,3.14142860829371e-04,Outside EU law
ARG,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,1.04695031346898e-03,Outside EU law
COL,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,0.548431636517494,Outside EU law
PRY,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,1.19165969773474e-02,Outside EU law
CIV,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,4.64305493810382e-03,Outside EU law
MYS,Growing sugar beet and cane industry,Oceania and Asia,Rest_of_Asia_Pacific,3.98333962050638,Outside EU law
COL,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,8.30601443318253e-02,Outside EU law
MYS,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,7.21800887968734e-02,Outside EU law
ARG,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,2.62359728216664e-02,Outside EU law
PER,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,6.04627306421108e-02,Outside EU law
CIV,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,0.378158458820744,Outside EU law
GHA,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,0.584480179065549,Outside EU law
PRY,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,9.2943163671488e-04,Outside EU law
IDN,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
COD,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,1.01204431831568,Outside EU law
AGO,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,2.20875725412223e-03,Outside EU law
BRA,"Growing vegetables, roots, tubers industry",Oceania and Asia,Rest_of_Asia_Pacific,1.24202702652526e-02,Outside EU law
IDN,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
BRA,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,1.03559437938768e-05,Outside EU law
AGO,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
PER,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,1.91986037488096e-02,Outside EU law
PRY,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,1.15191396957627e-05,Outside EU law
MYS,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
COL,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,1.01618483681696e-04,Outside EU law
COD,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
CIV,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
ARG,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,1.10227075770785e-04,Outside EU law
GHA,Growing grapes industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
ARG,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,1.28787719515589e-02,Outside EU law
PRY,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,0.04111779735178,Outside EU law
AGO,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,5.98363005800325e-03,Outside EU law
CIV,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,2.55603675206179e-02,Outside EU law
GHA,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,2.42499525685963e-02,Outside EU law
IDN,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
BRA,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,0.385039057389641,Outside EU law
MYS,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,0,Outside EU law
COD,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,6.99708008021318e-04,Outside EU law
PER,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,0.131991447692571,Outside EU law
COL,Growing cereals n.e.c industry,Oceania and Asia,Rest_of_Asia_Pacific,8.2399556085038e-03,Outside EU law
COL,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.354543208023363,Outside EU law
BRA,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,7.29344142408727,Outside EU law
ARG,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.386095618941071,Outside EU law
MYS,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.302632935178283,Outside EU law
PRY,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,5.53772995694614,Outside EU law
IDN,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,70.8605443017625,Outside EU law
PER,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.294750179502344,Outside EU law
CIV,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.124562287331938,Outside EU law
COD,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,1.90561606002351e-02,Outside EU law
GHA,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,0.459866312941272,Outside EU law
AGO,Growing maize industry,Oceania and Asia,Rest_of_Asia_Pacific,7.56778819256454e-02,Outside EU law
CIV,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,2.29216218569624e-05,Outside EU law
MYS,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,0.139008364815275,Outside EU law
PRY,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,2.20687735242469e-03,Outside EU law
PER,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,3.29170867315775e-05,Outside EU law
COD,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,1.34364676332813e-05,Outside EU law
BRA,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,6.79374833680298e-02,Outside EU law
GHA,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,5.00025310582912e-02,Outside EU law
IDN,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,7.3572364958005,Outside EU law
COL,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,3.91936735581255e-02,Outside EU law
ARG,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,2.84936453263831e-04,Outside EU law
AGO,Growing tobacco industry,Oceania and Asia,Rest_of_Asia_Pacific,5.6287763130484e-08,Outside EU law
GHA,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,1.28192968713047e-03,Outside EU law
BRA,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,0.451193429108311,Outside EU law
ARG,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,7.90470680317248e-03,Outside EU law
MYS,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,3.55136328296817e-02,Outside EU law
COL,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,2.52621387355879e-03,Outside EU law
CIV,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,0.886874879300775,Outside EU law
IDN,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,8.19847772694319e-02,Outside EU law
PER,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,1.02499068671523e-02,Outside EU law
AGO,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,6.78032388617572e-07,Outside EU law
PRY,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,0.190036328778275,Outside EU law
COD,Growing fibre crops industry,Oceania and Asia,Rest_of_Asia_Pacific,2.83057311183535e-02,Outside EU law
