Country,Alpha-3code,GTAPAEZ
Afghanistan,AFG,SouthAsia
Albania,ALB,RestofWorld
Algeria,DZA,MENA
American Samoa,ASM,Oceania
Andorra,AND,RestofWorld
Angola,AGO,AngDRC
Anguilla,AIA,LatinAmer
Antigua and Barbuda,ATG,LatinAmer
Argentina,ARG,Argentina
Armenia,ARM,RestofWorld
Aruba,ABW,LatinAmer
Australia,AUS,Oceania
Austria,AUT,EU27
Azerbaijan,AZE,RestofWorld
Bahamas,BHS,LatinAmer
Bahrain,BHR,MENA
Bangladesh,BGD,SouthAsia
Barbados,BRB,LatinAmer
Belarus,BLR,RestofWorld
Belgium,BEL,EU27
Belize,BLZ,LatinAmer
Benin,BEN,SSA
Bhutan,BTN,SouthAsia
Bolivia,BOL,Bolivia
Bosnia and Herzegovina,BIH,RestofWorld
Botswana,BWA,SSA
Bouvet Island,BVT,RestofWorld
Brazil,BRA,Brasil
British Indian Ocean Territory,IOT,RestofWorld
Brunei,BRN,EastAsia
Bulgaria,BGR,EU27
Burkina Faso,BFA,SSA
Burundi,BDI,SSA
Cambodia,KHM,SEAsia
Cameroon,CMR,SSA
Canada,CAN,Canada
Cape Verde,CPV,SSA
Cayman Islands,CYM,LatinAmer
Central African Republic,CAF,SSA
Chad,TCD,SSA
Chile,CHL,LatinAmer
China,CHN,China
Christmas Island,CXR,Oceania
Cocos (Keeling) Islands,CCK,Oceania
Colombia,COL,Colombia
Comoros,COM,SSA
Congo,COG,SSA
Democratic Republic of the Congo,COD,AngDRC
Cook Islands,COK,Oceania
Costa Rica,CRI,LatinAmer
Ivory Coast,CIV,IvoryCoast
Croatia,HRV,EU27
Cuba,CUB,LatinAmer
Cyprus,CYP,EU27
Czech Republic,CZE,EU27
Denmark,DNK,EU27
Djibouti,DJI,SSA
Dominica,DMA,LatinAmer
Dominican Republic,DOM,LatinAmer
Ecuador,ECU,LatinAmer
Egypt,EGY,MENA
El Salvador,SLV,LatinAmer
Equatorial Guinea,GNQ,SSA
Eritrea,ERI,SSA
Estonia,EST,EU27
Ethiopia,ETH,SSA
Falkland Islands (Malvinas),FLK,LatinAmer
Faroe Islands,FRO,RestofWorld
Fiji,FJI,Oceania
Finland,FIN,EU27
France,FRA,EU27
French Guiana,GUF,LatinAmer
French Polynesia,PYF,Oceania
French Southern Territories,ATF,RestofWorld
Gabon,GAB,SSA
Gambia,GMB,SSA
Georgia,GEO,RestofWorld
Germany,DEU,EU27
Ghana,GHA,Ghana
Gibraltar,GIB,RestofWorld
Greece,GRC,EU27
Grenada,GRD,LatinAmer
Guadeloupe,GLP,EU27
Guam,GUM,Oceania
Guatemala,GTM,LatinAmer
Guernsey,GGY,RestofWorld
Guinea,GIN,SSA
Guinea-Bissau,GNB,SSA
Guyana,GUY,LatinAmer
Haiti,HTI,LatinAmer
Holy See (Vatican City State),VAT,RestofWorld
Honduras,HND,LatinAmer
Hong Kong,HKG,EastAsia
Hungary,HUN,EU27
Iceland,ISL,EFTA
India,IND,India
Indonesia,IDN,Indonesia
Iran,IRN,MENA
